study,trial_name,year,cultivar,location,lat,lon,state,commercial,group,ai,block,sev,yld,rust
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,29,4863,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,23,4535,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,23,5307,0
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,12.6,3492,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,11.0,3678,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,11.6,3300,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,10.7,3234,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,5,15.2,3288,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,3.4,3948,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,3.2,3828,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,7.5,3996,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,4.1,3702,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,5,3.6,4032,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,3.0,3624,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,3.2,3720,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,2.7,3510,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,2.2,3708,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,5,3.5,3606,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,11.3,3228.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,8.7,3186.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,10.0,3156.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,9.3,3402.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,5,11.9,3240.0,1
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,26.5,3268,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,27.0,3122,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,26.5,3109,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,26.5,3228,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,21.5,3072,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,22.0,3074,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,20.5,3561,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,21.5,3017,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,2.5,3681,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,2.5,3570,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,1.0,3850,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,2.5,4365,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,30.0,2897,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,25.0,3121,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,30.0,2702,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,30.0,3030,0
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,22.0,1619,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,23.0,1957,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,28.0,2136,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,22.0,2021,1
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,28.6,3197,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,25.4,3350,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,26.5,3427,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,22.1,3562,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,15.3,3667,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,19.0,3655,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,9.8,3800,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,12.6,3593,0
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,17.0,3734,
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,17.0,4096,
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,10.0,3590,
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,17.0,3152,
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,20.0,4016.4,1
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,30.0,3714.0,1
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,10.0,4093.2,1
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,17.0,3930.6,1
16,NM,2017,TMG 2181 IPRO,Nova Mutum,-13.817,-56.0884,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,20.0,4584.3,
16,NM,2017,TMG 2181 IPRO,Nova Mutum,-13.817,-56.0884,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,30.0,4040.1,
16,NM,2017,TMG 2181 IPRO,Nova Mutum,-13.817,-56.0884,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,30.0,4544.0,
16,NM,2017,TMG 2181 IPRO,Nova Mutum,-13.817,-56.0884,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,25.0,4389.9,
17,CTPA,2017,M 9144RR,Doverlândia,-16.7213,-52.3166,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,12.4,4014.8,0
17,CTPA,2017,M 9144RR,Doverlândia,-16.7213,-52.3166,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,12.8,3990.0,0
17,CTPA,2017,M 9144RR,Doverlândia,-16.7213,-52.3166,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,12.8,4570.8,0
17,CTPA,2017,M 9144RR,Doverlândia,-16.7213,-52.3166,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,13.3,3807.0,0
18,FEG,2017,8579 RSF IPRO,Uruaçu,-14.5246,-49.1469,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,28.5,3512,0
18,FEG,2017,8579 RSF IPRO,Uruaçu,-14.5246,-49.1469,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,16.5,3905,0
18,FEG,2017,8579 RSF IPRO,Uruaçu,-14.5246,-49.1469,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,26,3333,0
18,FEG,2017,8579 RSF IPRO,Uruaçu,-14.5246,-49.1469,GO,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,19,3424,0
19,FACEM,2017,M 8473 IPRO,Sorriso,-12.5407,-55.7227,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,1,22,3568,1
19,FACEM,2017,M 8473 IPRO,Sorriso,-12.5407,-55.7227,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,2,25,3600,1
19,FACEM,2017,M 8473 IPRO,Sorriso,-12.5407,-55.7227,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,3,24,3713,1
19,FACEM,2017,M 8473 IPRO,Sorriso,-12.5407,-55.7227,MT,"Manfil 800 WP + Agris 0,5%",Ditiocarbamato,MANC,4,25,4141,1
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,12,5405,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,38,4409,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,10,5214,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,9,5150,0
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,7.0,3678,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,7.8,3354,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,9.1,3432,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,7.7,3948,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,5,9.2,3306,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,3.6,3978,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,3.4,4032,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,3.2,3834,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,4.9,4044,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,5,3.1,3852,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,3.8,3348,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,4.0,3924,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,1.5,3612,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,2.1,3678,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,5,3.8,3408,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,8.2,3222.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,9.0,3342.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,8.1,3114.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,7.5,3396.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,5,9.6,3060.0,1
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,30.0,2979,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,30.0,3134,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,31.0,2782,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,31.5,3129,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,28.5,3323,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,29.0,3044,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,29.0,3337,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,29.5,2815,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,0.5,4061,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,2.5,3852,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,2.5,4380,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,2.5,4084,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,22.0,3371,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,25.0,2952,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,25.0,2916,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,25.0,3350,0
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,13.0,1934,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,17.0,2051,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,18.0,2203,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,17.0,2638,1
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,19.5,3730,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,18.2,3749,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,20.8,3919,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,19.8,3591,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,21.6,3837,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,12.6,4215,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,13.6,3937,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,5.4,4224,0
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,15.0,3683,
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,15.0,3627,
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,15.0,3842,
14,CNP,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,10.0,3557,
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,1,20.0,4218.9,1
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,2,15.0,3696.2,1
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,3,25.0,3917.5,1
15,ITA,2017,TMG 2181 IPRO,Campo Novo do Parecis,-13.6638,-57.8886,MT,MIL FF 0675/13 + Nimbus  (1 L/ha),Azoxystrobin+triazole+ditiocarbamate,PICOX+TEBU+MANC,4,17.0,3716.6,1
